idname,roottype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14
15,primaryroot,0,0,0.011168452,0,1.7416368,7.2948184,9.296546,10.756832,11.867335,12.054637,12.152559,12.065073,12.144997,11.555365
15,sum_root,0,0,0.011168452,0,1.7416368,7.62139026,12.20694749,15.47070218,23.73095535,26.68454682,28.92820376,31.37453415,29.65828136,28.82493111
15,Lateralroot,0,0.5540296,1.3811332,1.688156081,2.885477645,6.814199934,13.42389473,26.00880564,48.1564125,52.17017913,57.63606243,53.00569904,63.60012518,65.0463963
15,primaryroot,1.7434943,4.2302008,5.644619,6.551514,7.3273615,8.732886,11.2027724,12.3756833,12.6875213,13.4393464,14.2795305,15.271083,15.204445,15.0608207
15,sum_root,1.7434943,4.7842304,7.0257522,8.239670081,10.21283915,15.54708593,24.62666713,38.38448894,60.8439338,65.60952553,71.91559293,68.27678204,78.80457018,80.107217
17,Lateralroot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,primaryroot,0,0,0,1.0337707,1.2111115,2.2175033,2.3655019,2.7375398,3.8412397,4.169393,4.181856,4.090269,4.0751534,3.8521569
17,sum_root,0,0,0,1.0337707,1.2111115,2.2175033,2.3655019,2.7375398,3.8412397,4.169393,4.181856,4.090269,4.0751534,3.8521569
17,Lateralroot,0,0,0,0,0,0,0,0,0.046556912,0.11119671,0.18632838,0.2746543,0.2746543,0.2746543
17,primaryroot,0,0,0.819335,0.97173476,1.2952106,1.2763075,1.3973417,1.4026474,1.4148066,1.3779358,1.3836167,1.420009,1.420009,1.420009
17,sum_root,0,0,0.819335,0.97173476,1.2952106,1.2763075,1.3973417,1.4026474,1.461363512,1.48913251,1.56994508,1.6946633,1.6946633,1.6946633
34,Lateralroot,0,0,0,0,0,0,0.36597143,0.33354514,0.41706859,0.5473004,0.48113591,0.37775886,0.38966635,0.345158235
34,primaryroot,0,0.14865604,0.71762735,0.6535432,1.1880597,1.1085348,1.349521,1.8719109,1.9376152,2.2182786,2.098492,1.9081668,2.160087,2.121232
